id,date,user,text,status,screen_id
1081979099713699840,2019-01-06 18:21:34,FriedasMom7,Trump Calls Out CNN for Publishing 'Fake News' About the TSA Not Showing Up to Work https://t.co/Uyl84xZbRv,FOR_REVIEW,3
1081979108169379841,2019-01-06 18:21:36,kelvinlegod,Spreading fake news  ,FOR_REVIEW,4
1081979182517809154,2019-01-06 18:21:53,feeeeeeee___,Fake news is watch it      ,FOR_REVIEW,5
1081979246355144706,2019-01-06 18:22:09,judsonhh,"Just me or is Trump's use of the term ""fake news' beginning to imply ""reliable news"".",FOR_REVIEW,6
1081979291951349765,2019-01-06 18:22:20,WinfriedAndres,Wer ist Gensing?  ,FOR_REVIEW,7
1081979348490440704,2019-01-06 18:22:33,djsnluv,Former New York Times editor just made a jaw-dropping confession about fake news https://t.co/70HUPYDYrh via @PatriotPulse,FOR_REVIEW,1
1081979357558697984,2019-01-06 18:22:35,mpatrick257,"Well, before it's over she'll quote 50.",FOR_REVIEW,2
1081979367838801920,2019-01-06 18:22:38,CFD_net_au,Fake News Site Promotes Bitcoin With Image of Ex-New Zealand PM https://t.co/2jZdIJ3qBo https://t.co/Dg9yc9GdSt,FOR_REVIEW,3
1081979394518863874,2019-01-06 18:22:44,g_mccray,"Elizabeth Warren, the Democrats and the real problem with the ""fake news media"" - Salon https://t.co/1FZdPucsaI",FOR_REVIEW,4
1081979396829913091,2019-01-06 18:22:45,tristanjulieava,Can t wait for you expose the deep state. We are running out of time.....,FOR_REVIEW,5
1081979471979298816,2019-01-06 18:23:02,stephenk22,"If I use this at work @marshallpruett, will it prevent me from producing fake news?",FOR_REVIEW,6
1081979478253977601,2019-01-06 18:23:04,buckinflynd,Fake news. https://t.co/m6hc01ODLn,FOR_REVIEW,7
1081979482750238721,2019-01-06 18:23:05,PlainMushroomWt,Inside Trump s fake news recidivism https://t.co/0Ob2kVVhXs,FOR_REVIEW,8
1081979520872341505,2019-01-06 18:23:14,helarctos,Popcorn,FOR_REVIEW,9
1081979530049474560,2019-01-06 18:23:16,miudovisk,Fake news,FOR_REVIEW,10
1081979539524210688,2019-01-06 18:23:19,Helensabin1,She should be removed from CONGRESS!!  ETHICAL VIOLATIONS and LYING!  Take off that tent she is wearing also!,FOR_REVIEW,11
1081979554640482304,2019-01-06 18:23:22,PrincessBravato,#TrumpShutdown  She flat lied Even State Dept says that's mostly airports not the southern border. #TrumpTaxFraud  https://t.co/qQwCGLRCcy,FOR_REVIEW,12
1081979609162412032,2019-01-06 18:23:35,gaunetes,Reminder you should leave Facebook because it is a cesspool.,FOR_REVIEW,1
1081979669530972162,2019-01-06 18:23:50,cedjoe,Fake news!,FOR_REVIEW,2
1081979713902411777,2019-01-06 18:24:00,Amelia03141431,The Fake News Media needs to be WIPED AWAY for fabricating lies to destroy so many innocent people.,FOR_REVIEW,1
1081979717232795649,2019-01-06 18:24:01,deaconcruise,    Believes @FoxNews        ,FOR_REVIEW,2
1081979741144604672,2019-01-06 18:24:07,mongaya_meriam,DHS: CNN Claim Of TSA Sick Out is 'Fake News' https://t.co/S6KJOcW60p #Newsmax via @Newsmax,FOR_REVIEW,3
1081979788762451968,2019-01-06 18:24:18,abbyn0rmal1955,she lies &amp; pulls fake ass numbers out of her as just like her boss does! thought she was suppose to be gone by now  https://t.co/XxHHJ51v7C,FOR_REVIEW,4
1081979791434076160,2019-01-06 18:24:19,bellelula3,in this instance.....homeboy is still full on Fox Fake News pusher...so nahhhhh No newsman,FOR_REVIEW,5
1081980010699870209,2019-01-06 18:25:11,AlEidenberg,NYT and WP just reporting the idiocy that emanates from this horrible person and corrupt complicit Party of Trump.  https://t.co/o26vdv7Xtn,FOR_REVIEW,1
1081980021231767554,2019-01-06 18:25:13,brxndtsweet,fake news,FOR_REVIEW,2
1081980027674062849,2019-01-06 18:25:15,ProudDeplorble,"Muslim Democrat Tlaib Did Not Use Infidel Jefferson s Koran, Used Her Own | Creeping Sharia  Anyone else getting th  https://t.co/gELTOdHCq9",FOR_REVIEW,3
1081980045604859905,2019-01-06 18:25:19,DoubleJEGS,I knew it was Fake News when I heard it. Then Libprogs used it to attack Melania. Disgusting,FOR_REVIEW,4
1081980113141620736,2019-01-06 18:25:35,fh_rodrigues,Fake News,FOR_REVIEW,5
1081980121597308938,2019-01-06 18:25:37,Sash_Shere,Fake news,FOR_REVIEW,6
1081980134633193472,2019-01-06 18:25:40,deaconcruise,    Believes @FoxNews    ,FOR_REVIEW,7
